VW,GolfVariant,2016,149991,5,5,5,Diesel,110cv,523,Manual,ACManual,Usados,11450
BMW,X5,2010,213000,5,5,5,Diesel,306cv,1598,Manual,ACManual,Usados,27200
Nissan,Qashqai,2014,169724,5,4,5,Diesel,130cv,1991,Automática,ACManual,Usados,15500
BMW,116,2016,91991,5,5,6,Diesel,116cv,1995,Manual,ACManual,Usados,15450
Skoda,Roomster,2012,89991,5,5,6,Diesel,75cv,1500,Manual,ACManual,Usados,6750
VW,PassatVariant,2015,144000,5,5,5,Diesel,120cv,1598,Manual,ACManual,Usados,12600
Citroën,Xantia,1996,260000,5,5,5,Diesel,95cv,1598,Manual,ACManual,Usados,1399
Renault,Mégane,2017,147991,5,5,6,Diesel,110cv,1496,Manual,ACAutomático,Usados,14950
Renault,Mégane,2016,124991,5,5,6,Diesel,110cv,1600,Manual,ACManual,Usados,13450
Audi,Q5,2011,95000,5,5,6,Diesel,170cv,1461,Manual,ACIndependente,Usados,22500
MINI,One,2017,16500,5,5,9,Gasolina,102cv,1364,Manual,ACAutomático,Usados,16500
Mercedes-Benz,GLC250,2017,54665,5,5,6,Diesel,204cv,1686,Manual,ACIndependente,Usados,54900
Mercedes-Benz,C220,2018,55000,2,4,6,Diesel,170cv,1199,Manual,ACAutomático,Usados,46500
SEAT,Alhambra,2004,14100,5,7,7,Diesel,130cv,2143,Automática,ACAutomático,Usados,6950
Renault,Mégane,2014,120000,5,5,5,Diesel,110cv,3000,Manual,ACAutomático,Usados,9980
Mercedes-Benz,C250,2012,142000,4,5,6,Diesel,204cv,1600,Manual,ACIndependente,Usados,18980
Citroën,C3Picasso,2010,98000,5,5,5,Diesel,92cv,1560,Manual,ACAutomático,Usados,8850
VW,GolfVariant,2015,99939,5,5,5,Diesel,110cv,1199,Manual,ACAutomático,Usados,12980
Mercedes-Benz,CLK230,1997,82000,2,4,6,Gasolina,193cv,1461,Manual,ACAutomático,Usados,8500
Skoda,Octavia,2010,182000,5,5,6,Diesel,105cv,1000,Manual,ACAutomático,Usados,7980
Volvo,V40,2012,200000,5,5,5,Diesel,150cv,1598,Manual,ACAutomático,Usados,11980
VW,Passat,2015,100000,4,5,6,Diesel,150cv,1500,Manual,ACManual,Usados,16980
Ford,KA,2016,52000,3,4,6,Gasolina,69cv,1968,Automática,ACAutomático,Usados,7780
Jeep,Wrangler,2008,87000,3,2,7,Diesel,177cv,492,Manual,ACManual,Usados,19480
MINI,One,2016,57000,3,4,8,Diesel,95cv,400,Manual,ACAutomático,Usados,15980
Audi,A1,2012,81000,3,4,7,Diesel,90cv,505,Manual,ACManual,Usados,12480
BMW,340,2016,69000,4,5,6,Gasolina,326cv,523,Manual,ACManual,Usados,34980
Mercedes-Benz,CLA45AMG,2016,12000,4,5,6,Gasolina,360cv,1598,Manual,ACManual,Usados,42980
Peugeot,308SW,2016,134000,5,5,5,Diesel,120cv,1991,Automática,ACManual,Usados,14000
Smart,ForTwo,2018,28000,3,2,6,Gasolina,90cv,1995,Manual,ACManual,Usados,12980
Chevrolet,Aveo,2011,35700,5,5,9,Gasolina,85cv,1500,Manual,ACManual,Usados,7500
Volvo,V60,2014,117000,5,5,6,Híbrido(Diesel),286cv,1598,Manual,ACManual,Usados,19500
Mercedes-Benz,C220,2018,15000,4,5,6,Diesel,170cv,1598,Manual,ACManual,Usados,34900
Mercedes-Benz,GLA200,2016,83000,5,5,9,Diesel,136cv,1598,Manual,ACManual,Usados,26900
Audi,TT,2015,64000,3,4,9,Diesel,184cv,4000,Manual,ACIndependente,Usados,33900
Mercedes-Benz,C200,2018,11000,5,5,6,Gasolina,184cv,1400,Automática,ACIndependente,Usados,35500
Mercedes-Benz,E220,2018,20000,2,4,9,Diesel,194cv,1598,Manual,ACIndependente,Usados,48500
Mercedes-Benz,C200,2019,1400,4,5,9,Gasolina,184cv,1496,Manual,ACAutomático,Usados,35500
Mercedes-Benz,A200,2016,76000,5,5,7,Diesel,136cv,1600,Manual,ACManual,Usados,27000
