,Car_ID,Brand,Model,Year,Km,Doors,Seats,TransmissionNr,Fuel,Power,Cylinder Engine,Transmission,AC,Condition,Price
91,108,Peugeot,207,2011,88000,5,7,6,Diesel,68cv,1560,Manual,ACAutomático,Usados,7990
92,1080,Mitsubishi,Pajero,1997,230014,5,5,5,Diesel,99cv,492,Manual,ACManual,Usados,7250
93,1081,Ford,C-Max,2013,115650,5,5,8,Diesel,115cv,400,Manual,ACAutomático,Usados,10950
94,1082,Renault,Captur,2017,35000,5,5,6,Gasolina,90cv,505,Manual,ACManual,Usados,14480
95,1083,Porsche,Cayenne,2011,133000,5,5,8,Diesel,245cv,523,Manual,ACManual,Usados,36900
96,1084,VW,Polo,2002,268000,5,7,9,Diesel,75cv,1598,Manual,ACManual,Usados,3500
97,1085,Mercedes-Benz,C200,2015,88512,5,4,9,Diesel,136cv,1991,Automática,ACManual,Usados,22980
98,1086,Porsche,Macan,2014,108350,5,5,8,Diesel,258cv,1496,Manual,ACAutomático,Usados,52500
99,1087,LandRover,RangeRoverEvoque,2013,122000,5,5,6,Diesel,150cv,1600,Manual,ACManual,Usados,26000
100,1088,VW,Polo,2019,15000,5,5,5,Gasolina,80cv,1461,Manual,ACIndependente,Usados,13850
101,1089,Mercedes-Benz,C220,2019,13191,5,5,9,Diesel,194cv,1364,Manual,ACAutomático,Usados,37980
102,109,Peugeot,508SW,2012,168000,5,5,5,Diesel,112cv,1199,Manual,ACAutomático,Usados,10499
103,1090,Porsche,Cayman,2011,124000,3,2,7,Gasolina,275cv,1686,Manual,ACIndependente,Usados,40950
104,1091,Renault,MéganeSportTourer,2016,110000,5,5,6,Diesel,110cv,1199,Manual,ACAutomático,Usados,13850
105,1092,BMW,X1,2018,33551,5,5,8,Diesel,150cv,2143,Automática,ACAutomático,Usados,31880
106,1093,Ford,Fiesta,2018,57263,5,5,6,Diesel,85cv,3000,Manual,ACAutomático,Usados,11480
107,1094,Ford,Fiesta,2018,45543,5,5,6,Diesel,85cv,1600,Manual,ACIndependente,Usados,11480
108,1095,Lexus,IS300H,2015,92700,5,5,5,Híbrido(Gasolina),223cv,1560,Manual,ACAutomático,Usados,27450
109,1096,Fiat,500X,2016,40000,5,5,6,Diesel,95cv,1199,Manual,ACAutomático,Usados,14450
110,1097,Renault,MéganeCoupe,2010,141000,2,5,7,Gasolina,250cv,1461,Manual,ACAutomático,Usados,24500
111,1098,Porsche,Macan,2015,102000,5,5,5,Diesel,258cv,1000,Manual,ACAutomático,Usados,63000
112,1099,Opel,Corsa,2018,40436,5,5,6,Gasolina,70cv,1598,Manual,ACAutomático,Usados,9250
113,11,Ford,Fiesta,2019,25000,5,2,6,Gasolina,125cv,1000,Manual,ACAutomático,Usados,14950
114,110,MINI,Cooper,2014,98800,5,6,5,Diesel,116cv,1461,Manual,ACAutomático,Usados,14900
115,1100,AlfaRomeo,Giulietta,2016,128844,5,5,6,Diesel,105cv,1500,Manual,ACManual,Usados,13900
116,1101,Ford,FocusSW,2017,73000,5,5,5,Gasolina,125cv,1968,Automática,ACAutomático,Usados,12100
117,1102,Porsche,Cayman,2006,90000,3,2,7,Gasolina,245cv,492,Manual,ACManual,Usados,29750
118,1103,Mercedes-Benz,B180,2019,25357,5,5,9,Diesel,116cv,400,Manual,ACAutomático,Usados,26980
119,1104,Mercedes-Benz,C220,2016,139478,3,4,7,Diesel,170cv,505,Manual,ACManual,Usados,33980
120,1105,Nissan,Navara,2006,157000,5,5,5,Diesel,174cv,523,Manual,ACManual,Usados,13650
121,1106,Peugeot,208,2017,22000,5,5,6,Diesel,100cv,1598,Manual,ACManual,Usados,15980
122,1107,Volvo,V40,2015,90518,5,5,6,Diesel,120cv,1991,Automática,ACManual,Usados,17480
123,1108,Hyundai,i30,2016,75000,5,5,6,Diesel,110cv,1995,Manual,ACManual,Usados,14480
124,1109,Mercedes-Benz,A200,2019,13000,5,5,6,Diesel,150cv,1500,Manual,ACManual,Usados,35480
125,111,SEAT,Alhambra,2004,182293,5,5,6,Diesel,130cv,1000,Manual,ACAutomático,Usados,9290
126,1110,BMW,320,2008,234000,2,4,6,Diesel,177cv,1496,Manual,ACAutomático,Usados,19900
127,1111,Mercedes-Benz,C320,2009,267000,5,5,6,Diesel,224cv,1600,Manual,ACManual,Usados,17500
128,1112,Mercedes-Benz,C200,2012,198000,5,5,6,Diesel,136cv,1461,Manual,ACIndependente,Usados,17500
129,1113,BMW,118,2014,153000,5,5,8,Diesel,143cv,1364,Manual,ACAutomático,Usados,18500
130,1114,Renault,LagunaCoupe,2012,204000,2,4,8,Diesel,180cv,1686,Manual,ACIndependente,Usados,17000
131,1115,BMW,520,2017,102000,4,5,7,Diesel,163cv,1199,Manual,ACAutomático,Usados,37900
132,1116,BMW,640,2012,129000,2,4,6,Diesel,313cv,2143,Automática,ACAutomático,Usados,37900
133,1117,Mercedes-Benz,C350,2010,147000,5,5,8,Diesel,224cv,3000,Manual,ACAutomático,Usados,21500
134,1118,Opel,Astra,2011,86000,5,5,7,Diesel,125cv,1600,Manual,ACIndependente,Usados,11500
135,1119,BMW,530,2012,141000,5,5,8,Diesel,258cv,1560,Manual,ACAutomático,Usados,24900
136,112,Renault,ClioSportTourer,2016,46359,5,5,6,Diesel,75cv,1598,Manual,ACAutomático,Usados,12990
137,1120,Mercedes-Benz,C250,2013,135000,5,5,7,Diesel,204cv,1199,Manual,ACAutomático,Usados,18900
138,1121,Peugeot,3008,2019,26100,5,5,6,Diesel,130cv,1461,Manual,ACAutomático,Usados,31000
139,1122,Mercedes-Benz,GLA45AMG,2016,43000,5,5,5,Gasolina,360cv,1000,Manual,ACAutomático,Usados,41000
140,1123,BMW,120,2008,283000,3,5,6,Diesel,177cv,1598,Manual,ACAutomático,Usados,10750
141,1124,VW,Polo,2016,111739,5,5,5,Diesel,75cv,1500,Manual,ACManual,Usados,10350
142,1125,Renault,Mégane,2017,48726,5,5,5,Diesel,110cv,1968,Automática,ACAutomático,Usados,14980
143,1126,Mercedes-Benz,A180,2020,9000,5,5,5,Diesel,116cv,492,Manual,ACManual,Usados,32990
144,1127,Peugeot,208,2019,14000,5,5,5,Gasolina,82cv,400,Manual,ACAutomático,Usados,12990
145,1128,Fiat,500,2020,100,3,4,5,Gasolina,69cv,505,Manual,ACManual,Usados,13690
146,1129,SEAT,Ibiza,2019,1900,5,5,5,Gasolina,95cv,523,Manual,ACManual,Usados,16490
147,113,Renault,Zoe,2014,78400,5,5,6,Eléctrico,88cv,1500,Manual,ACManual,Usados,7700
