Tesla,ModelX,2017,60650,5,5,6,Eléctrico,525cv,1968,Automática,ACAutomático,Usados,76890
Ford,EcoSport,2017,95000,5,5,5,Gasolina,125cv,492,Manual,ACManual,Usados,13250
Toyota,AurisTouringSports,2016,74200,5,5,5,Diesel,90cv,400,Manual,ACAutomático,Usados,14990
Renault,MéganeSportTourer,2015,148844,5,5,5,Diesel,110cv,505,Manual,ACManual,Usados,11990
Renault,Scénic,2015,106365,5,5,6,Diesel,110cv,523,Manual,ACManual,Usados,11990
BMW,318,2015,68150,5,5,6,Diesel,143cv,1598,Manual,ACManual,Usados,20990
Renault,Clio,2017,76232,5,5,5,Gasolina,90cv,1991,Automática,ACManual,Usados,10990
Fiat,500C,2013,81818,3,5,6,Gasolina,69cv,1995,Manual,ACManual,Usados,9950
VW,Golf,2014,119989,3,5,6,Diesel,105cv,1500,Manual,ACManual,Usados,13980
SEAT,Leon,2015,129902,5,5,5,Diesel,110cv,1598,Manual,ACManual,Usados,11999
Nissan,Juke,2016,59000,5,5,6,Diesel,110cv,1598,Manual,ACManual,Usados,14980
Peugeot,407SW,2005,229879,5,5,6,Diesel,109cv,1598,Manual,ACManual,Usados,4990
VW,Golf,2015,126355,5,5,5,Diesel,110cv,1496,Manual,ACAutomático,Usados,14380
Nissan,Qashqai,2015,124911,5,5,6,Diesel,110cv,1600,Manual,ACManual,Usados,14850
SEAT,IbizaST,2010,89989,5,5,5,Gasolina,70cv,1461,Manual,ACIndependente,Usados,7500
Renault,MéganeSportTourer,2013,216000,5,5,5,Diesel,110cv,1364,Manual,ACAutomático,Usados,7999
Renault,Clio,2015,98843,5,5,6,Diesel,90cv,1686,Manual,ACIndependente,Usados,12990
Citroën,Saxo,2000,400000,5,5,6,Diesel,68cv,1199,Manual,ACAutomático,Usados,1190
Audi,TT,2008,148980,5,5,6,Gasolina,272cv,2143,Automática,ACAutomático,Usados,23990
Opel,InsigniaSportsTourer,2015,156500,2,2,6,Diesel,170cv,3000,Manual,ACAutomático,Usados,15750
Smart,ForTwo,2010,131686,5,5,6,Diesel,61cv,1600,Manual,ACIndependente,Usados,7990
Nissan,Qashqai,2017,13000,5,5,6,Diesel,110cv,1560,Manual,ACAutomático,Usados,19980
SEAT,Leon,2014,130092,5,5,6,Diesel,105cv,1199,Manual,ACAutomático,Usados,12990
SEAT,Leon,2015,105200,5,4,7,Diesel,110cv,1461,Manual,ACAutomático,Usados,11999
BMW,X6,2010,100252,5,5,5,Diesel,306cv,1000,Manual,ACAutomático,Usados,40000
Peugeot,508SW,2015,67000,5,5,6,Diesel,150cv,1598,Manual,ACAutomático,Usados,19500
SEAT,Leon,2015,149116,5,5,7,Diesel,110cv,1500,Manual,ACManual,Usados,11999
VW,Passat,2018,28000,5,4,6,Híbrido(Gasolina),218cv,1968,Automática,ACAutomático,Usados,31000
Smart,ForFour,2017,24771,5,5,7,Gasolina,71cv,492,Manual,ACManual,Usados,10999
Skoda,Superb,2019,11000,5,5,7,Diesel,150cv,400,Manual,ACAutomático,Usados,29990
BMW,525,2015,83950,5,7,6,Diesel,218cv,505,Manual,ACManual,Usados,27990
SEAT,Alhambra,2011,143000,5,5,6,Diesel,143cv,523,Manual,ACManual,Usados,13990
VW,PassatVariant,2015,76500,5,5,6,Diesel,120cv,1598,Manual,ACManual,Usados,17990
BMW,X1,2016,96700,5,5,6,Diesel,190cv,1991,Automática,ACManual,Usados,27990
BMW,520,2009,182000,5,4,6,Diesel,177cv,1995,Manual,ACManual,Usados,13000
Audi,A7,2017,50000,2,7,6,Diesel,320cv,1500,Manual,ACManual,Usados,59990
BMW,320,2011,189000,5,5,6,Diesel,184cv,1598,Manual,ACManual,Usados,23250
Lancia,Thema,2013,63500,5,5,7,Diesel,240cv,1496,Manual,ACAutomático,Usados,27990
BMW,320,2014,152746,4,5,7,Diesel,163cv,1600,Manual,ACManual,Usados,18990
Audi,Q5,2009,177000,5,4,6,Diesel,170cv,1461,Manual,ACIndependente,Usados,16990
Jaguar,XE,2016,146797,5,5,6,Diesel,163cv,1364,Manual,ACAutomático,Usados,20990
Nissan,Qashqai,2018,73400,5,5,6,Diesel,110cv,1686,Manual,ACIndependente,Usados,21350
BMW,320,2017,140254,5,5,7,Diesel,190cv,1199,Manual,ACAutomático,Usados,24950
Peugeot,3008,2017,140898,5,5,6,Diesel,120cv,2143,Automática,ACAutomático,Usados,22990
Audi,A5Sportback,2017,110742,5,5,5,Diesel,190cv,3000,Manual,ACAutomático,Usados,34500
Renault,ClioSportTourer,2015,115609,5,5,6,Diesel,90cv,1600,Manual,ACIndependente,Usados,11750
Renault,MéganeSportTourer,2016,51354,5,5,7,Diesel,110cv,1560,Manual,ACAutomático,Usados,12950
Mercedes-Benz,CLA180,2015,143330,5,5,6,Diesel,109cv,1199,Manual,ACAutomático,Usados,21990
Mercedes-Benz,C180,2015,82171,5,5,6,Diesel,116cv,1461,Manual,ACAutomático,Usados,20990
Peugeot,308SW,2016,150251,5,4,7,Diesel,120cv,1000,Manual,ACAutomático,Usados,14990
